uid,response_no,unix_time,response
user5,21,1610513001857,"{""phase"": ""TEST"", ""expr"": ""E030_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 3046}"
user5,22,1610513006088,"{""phase"": ""TEST"", ""expr"": ""E100_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4229}"
user5,23,1610513012144,"{""phase"": ""TEST"", ""expr"": ""E003_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 6054}"
user5,24,1610513017856,"{""phase"": ""TEST"", ""expr"": ""E033_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5710}"
user5,25,1610513022175,"{""phase"": ""TEST"", ""expr"": ""E081_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4317}"
user5,26,1610513027607,"{""phase"": ""TEST"", ""expr"": ""E013_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 5431}"
user5,27,1610513031806,"{""phase"": ""TEST"", ""expr"": ""E085_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4198}"
user5,28,1610513038845,"{""phase"": ""TEST"", ""expr"": ""E099_CW"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 7037}"
user5,29,1610513042548,"{""phase"": ""TEST"", ""expr"": ""E031_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 3701}"
user5,30,1610513047332,"{""phase"": ""TEST"", ""expr"": ""E058_FGSM"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 4782}"
user5,31,1610513051539,"{""phase"": ""TEST"", ""expr"": ""E059_SINVAD"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4206}"
user5,32,1610513056492,"{""phase"": ""TEST"", ""expr"": ""E028_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4950}"
user5,33,1610513060754,"{""phase"": ""TEST"", ""expr"": ""E011_CW"", ""c1_confidence"": 0, ""c2_confidence"": 4, ""rt"": 4261}"
user5,34,1610513068930,"{""phase"": ""TEST"", ""expr"": ""E090_SINVAD"", ""c1_confidence"": 4, ""c2_confidence"": 0, ""rt"": 8174}"
user6,2,1610512904075,"{""phase"": ""TEST"", ""expr"": ""E059_FGSM"", ""c1_confidence"": 0, ""c2_confidence"": 3, ""rt"": 8447}"
